Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps
1,150,5,10.0,50,46,5
2,166,5,10.0,50,46,5
3,166,5,10.0,50,46,5
4,166,5,10.0,50,46,5
5,160,5,10.0,50,46,5
6,159,5,10.0,50,46,5
7,170,5,10.0,50,46,5
8,164,5,10.0,50,46,5
9,169,5,10.0,50,46,5
10,168,5,10.0,50,46,5
11,166,5,10.0,50,46,5
12,154,5,10.0,50,46,5
13,216,5,10.0,50,46,5
14,237,5,10.0,50,46,5
15,227,5,10.0,50,46,5
16,248,5,10.0,50,46,5
17,209,5,10.0,50,46,5
18,212,5,10.0,50,46,5
19,231,5,10.0,50,46,5
20,235,5,10.0,50,46,5
21,228,5,10.0,50,46,5
22,198,5,10.0,50,46,5
23,212,5,10.0,50,46,5
24,225,5,10.0,50,46,5
25,228,5,10.0,50,46,5
26,206,5,10.0,50,46,5
27,200,5,10.0,50,46,5
28,224,5,10.0,50,46,5
29,232,5,10.0,50,46,5
30,237,5,10.0,50,46,5
31,227,5,10.0,50,46,5
32,219,5,10.0,50,46,5
33,208,5,10.0,50,46,5
34,213,5,10.0,50,46,5
35,222,5,10.0,50,46,5
36,230,5,10.0,50,46,5
37,218,5,10.0,50,46,5
38,246,5,10.0,50,46,5
39,207,5,10.0,50,46,5
40,232,5,10.0,50,46,5
41,232,5,10.0,50,46,5
42,221,5,10.0,50,46,5
43,247,5,10.0,50,46,5
44,207,5,10.0,50,46,5
45,211,5,10.0,50,46,5
46,221,5,10.0,50,46,5
47,203,5,10.0,50,46,5
48,199,5,10.0,50,46,5
