Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters)
1,134,4,200.0,25,904,5,1002.1680415338938
2,140,4,200.0,25,904,5,1002.1680415338938
3,138,4,200.0,25,904,5,1002.1680415338938
4,149,4,200.0,25,904,5,1002.1680415338938
5,138,4,200.0,25,904,5,1002.1680415338938
6,133,4,200.0,25,904,5,1002.1680415338938
7,145,4,200.0,25,904,5,1002.1680415338938
8,135,4,200.0,25,904,5,1002.1680415338938
9,135,4,200.0,25,904,5,1002.1680415338938
10,138,4,200.0,25,904,5,1002.1680415338938
11,148,4,200.0,25,904,5,1002.1680415338938
12,140,4,200.0,25,904,5,1002.1680415338938
13,145,4,200.0,25,904,5,1002.1680415338938
14,146,4,200.0,25,904,5,1002.1680415338938
15,137,4,200.0,25,904,5,1002.1680415338938
16,133,4,200.0,25,904,5,1002.1680415338938
17,140,4,200.0,25,904,5,1002.1680415338938
18,131,4,200.0,25,904,5,1002.1680415338938
19,148,4,200.0,25,904,5,1002.1680415338938
20,135,4,200.0,25,904,5,1002.1680415338938
21,132,4,200.0,25,904,5,1002.1680415338938
22,139,4,200.0,25,904,5,1002.1680415338938
23,135,4,200.0,25,904,5,1002.1680415338938
24,145,4,200.0,25,904,5,1002.1680415338938
25,143,4,200.0,25,904,5,1002.1680415338938
26,130,4,200.0,25,904,5,1002.1680415338938
27,135,4,200.0,25,904,5,1002.1680415338938
28,147,4,200.0,25,904,5,1002.1680415338938
29,141,4,200.0,25,904,5,1002.1680415338938
30,136,4,200.0,25,904,5,1002.1680415338938
31,150,4,200.0,25,904,5,1002.1680415338938
32,130,4,200.0,25,904,5,1002.1680415338938
33,150,4,200.0,25,904,5,1002.1680415338938
34,135,4,200.0,25,904,5,1002.1680415338938
35,145,4,200.0,25,904,5,1002.1680415338938
36,148,4,200.0,25,904,5,1002.1680415338938
37,134,4,200.0,25,904,5,1002.1680415338938
38,146,4,200.0,25,904,5,1002.1680415338938
39,148,4,200.0,25,904,5,1002.1680415338938
40,141,4,200.0,25,904,5,1002.1680415338938
41,140,4,200.0,25,904,5,1002.1680415338938
42,142,4,200.0,25,904,5,1002.1680415338938
43,135,4,200.0,25,904,5,1002.1680415338938
44,133,4,200.0,25,904,5,1002.1680415338938
45,141,4,200.0,25,904,5,1002.1680415338938
46,134,4,200.0,25,904,5,1002.1680415338938
47,147,4,200.0,25,904,5,1002.1680415338938
48,150,4,200.0,25,904,5,1002.1680415338938
49,147,4,200.0,25,904,5,1002.1680415338938
50,143,4,200.0,25,904,5,1002.1680415338938
51,145,4,200.0,25,904,5,1002.1680415338938
52,143,4,200.0,25,904,5,1002.1680415338938
53,146,4,200.0,25,904,5,1002.1680415338938
54,139,4,200.0,25,904,5,1002.1680415338938
55,141,4,200.0,25,904,5,1002.1680415338938
56,150,4,200.0,25,904,5,1002.1680415338938
57,132,4,200.0,25,904,5,1002.1680415338938
58,139,4,200.0,25,904,5,1002.1680415338938
59,139,4,200.0,25,904,5,1002.1680415338938
60,144,4,200.0,25,904,5,1002.1680415338938
61,130,4,200.0,25,904,5,1002.1680415338938
62,130,4,200.0,25,904,5,1002.1680415338938
63,130,4,200.0,25,904,5,1002.1680415338938
64,137,4,200.0,25,904,5,1002.1680415338938
65,144,4,200.0,25,904,5,1002.1680415338938
66,131,4,200.0,25,904,5,1002.1680415338938
67,143,4,200.0,25,904,5,1002.1680415338938
68,130,4,200.0,25,904,5,1002.1680415338938
69,149,4,200.0,25,904,5,1002.1680415338938
