Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters),Feedback
1,158,3,50.0,50,82,1,49.71346418062847,
2,162,3,50.0,50,82,1,49.71346418062847,
3,150,3,50.0,50,82,1,49.71346418062847,
4,163,3,50.0,50,82,1,49.71346418062847,
5,168,3,50.0,50,82,1,49.71346418062847,
6,164,3,50.0,50,82,1,49.71346418062847,
7,164,3,50.0,50,82,1,49.71346418062847,
8,161,3,50.0,50,82,1,49.71346418062847,
9,165,3,50.0,50,82,1,49.71346418062847,
10,154,3,50.0,50,82,1,49.71346418062847,
11,150,3,50.0,50,82,1,49.71346418062847,
12,162,3,50.0,50,82,1,49.71346418062847,
13,169,3,50.0,50,82,1,49.71346418062847,
14,168,3,50.0,50,82,1,49.71346418062847,
15,168,3,50.0,50,82,1,49.71346418062847,
16,160,3,50.0,50,82,1,49.71346418062847,
17,167,3,50.0,50,82,1,49.71346418062847,
18,150,3,50.0,50,82,1,49.71346418062847,
19,160,3,50.0,50,82,1,49.71346418062847,
20,152,3,50.0,50,82,1,49.71346418062847,
21,168,3,50.0,50,82,1,49.71346418062847,
22,155,3,50.0,50,82,1,49.71346418062847,
23,155,3,50.0,50,82,1,49.71346418062847,
24,170,3,50.0,50,82,1,49.71346418062847,
25,167,3,50.0,50,82,1,49.71346418062847,
26,154,3,50.0,50,82,1,49.71346418062847,
27,168,3,50.0,50,82,1,49.71346418062847,
28,159,3,50.0,50,82,1,49.71346418062847,
29,164,3,50.0,50,82,1,49.71346418062847,
30,156,3,50.0,50,82,1,49.71346418062847,
31,163,3,50.0,50,82,1,49.71346418062847,
32,168,3,50.0,50,82,1,49.71346418062847,
33,163,3,50.0,50,82,1,49.71346418062847,
34,159,3,50.0,50,82,1,49.71346418062847,
35,166,3,50.0,50,82,1,49.71346418062847,
36,167,3,50.0,50,82,1,49.71346418062847,
37,167,3,50.0,50,82,1,49.71346418062847,
38,152,3,50.0,50,82,1,49.71346418062847,
39,161,3,50.0,50,82,1,49.71346418062847,
40,151,3,50.0,50,82,1,49.71346418062847,
41,160,3,50.0,50,82,1,49.71346418062847,
42,159,3,50.0,50,82,1,49.71346418062847,
43,163,3,50.0,50,82,1,49.71346418062847,
44,170,3,50.0,50,82,1,49.71346418062847,
45,153,3,50.0,50,82,1,49.71346418062847,
46,154,3,50.0,50,82,1,49.71346418062847,
47,160,3,50.0,50,82,1,49.71346418062847,
48,163,3,50.0,50,82,1,49.71346418062847,
49,153,3,50.0,50,82,1,49.71346418062847,
50,151,3,50.0,50,82,1,49.71346418062847,
51,161,3,50.0,50,82,1,49.71346418062847,
52,151,3,50.0,50,82,1,49.71346418062847,
53,162,3,50.0,50,82,1,49.71346418062847,
54,156,3,50.0,50,82,1,49.71346418062847,
55,155,3,50.0,50,82,1,49.71346418062847,
56,155,3,50.0,50,82,1,49.71346418062847,
57,166,3,50.0,50,82,1,49.71346418062847,
58,164,3,50.0,50,82,1,49.71346418062847,
59,153,3,50.0,50,82,1,49.71346418062847,
60,159,3,50.0,50,82,1,49.71346418062847,
61,155,3,50.0,50,82,1,49.71346418062847,
62,170,3,50.0,50,82,1,49.71346418062847,
63,151,3,50.0,50,82,1,49.71346418062847,
64,163,3,50.0,50,82,1,49.71346418062847,
65,152,3,50.0,50,82,1,49.71346418062847,
66,162,3,50.0,50,82,1,49.71346418062847,
67,162,3,50.0,50,82,1,49.71346418062847,
68,164,3,50.0,50,82,1,49.71346418062847,
69,162,3,50.0,50,82,1,49.71346418062847,
70,157,3,50.0,50,82,1,49.71346418062847,
71,153,3,50.0,50,82,1,49.71346418062847,
72,160,3,50.0,50,82,1,49.71346418062847,
73,151,3,50.0,50,82,1,49.71346418062847,
74,168,3,50.0,50,82,1,49.71346418062847,
75,152,3,50.0,50,82,1,49.71346418062847,
76,165,3,50.0,50,82,1,49.71346418062847,
77,166,3,50.0,50,82,1,49.71346418062847,
78,150,3,50.0,50,82,1,49.71346418062847,
79,154,3,50.0,50,82,1,49.71346418062847,
80,162,3,50.0,50,82,1,49.71346418062847,
81,151,3,50.0,50,82,1,49.71346418062847,
82,152,3,50.0,50,82,1,49.71346418062847,
83,150,3,50.0,50,82,1,49.71346418062847,
84,162,3,50.0,50,82,1,49.71346418062847,
